Day,Date,PageViews,Sessions,Visitors,NewVisitors
Tuesday,2021-03-23,35,30,28,26
Wednesday,2021-03-24,27,21,21,17
Thursday,2021-03-25,26,21,20,18
Friday,2021-03-26,40,13,13,9
Saturday,2021-03-27,27,26,26,24
Sunday,2021-03-28,18,14,14,12
Monday,2021-03-29,38,30,28,27
Tuesday,2021-03-30,16,15,15,15
Wednesday,2021-03-31,21,16,15,12
Thursday,2021-04-01,13,12,12,8
Friday,2021-04-02,13,13,12,10
Saturday,2021-04-03,13,8,8,5
Sunday,2021-04-04,17,13,13,12
Monday,2021-04-05,26,17,15,15
Tuesday,2021-04-06,16,15,15,14
Wednesday,2021-04-07,24,17,16,15
Thursday,2021-04-08,24,15,15,13
Friday,2021-04-09,22,21,20,15
Saturday,2021-04-10,33,27,25,21
Sunday,2021-04-11,21,18,16,13
Monday,2021-04-12,87,44,38,33
Tuesday,2021-04-13,73,37,35,28
Wednesday,2021-04-14,34,20,17,15
Thursday,2021-04-15,250,144,132,123
Friday,2021-04-16,281,204,190,172
Saturday,2021-04-17,138,106,94,82
Sunday,2021-04-18,179,105,90,84
Monday,2021-04-19,90,47,35,26
Tuesday,2021-04-20,85,50,43,37
Wednesday,2021-04-21,97,81,69,55
Thursday,2021-04-22,88,79,73,65
Friday,2021-04-23,61,30,29,22
Saturday,2021-04-24,34,25,24,23
Sunday,2021-04-25,64,34,30,27
Monday,2021-04-26,22,17,17,10
Tuesday,2021-04-27,32,28,25,24
Wednesday,2021-04-28,70,36,33,24
Thursday,2021-04-29,31,21,21,17
Friday,2021-04-30,25,16,15,11
Saturday,2021-05-01,39,33,25,20
Sunday,2021-05-02,46,31,26,20
Monday,2021-05-03,27,22,17,13
Tuesday,2021-05-04,26,23,21,17
Wednesday,2021-05-05,23,18,15,12
Thursday,2021-05-06,28,23,17,13
Friday,2021-05-07,24,18,13,11
Saturday,2021-05-08,13,12,11,8
Sunday,2021-05-09,14,11,10,9
Monday,2021-05-10,25,20,19,15
Tuesday,2021-05-11,41,27,26,22
Wednesday,2021-05-12,25,22,15,11
Thursday,2021-05-13,33,18,14,9
Friday,2021-05-14,27,22,14,12
Saturday,2021-05-15,14,11,9,7
Sunday,2021-05-16,21,16,13,10
Monday,2021-05-17,31,18,16,14
Tuesday,2021-05-18,20,14,13,10
Wednesday,2021-05-19,47,22,22,19
