mm,dd,yyyy,Count
08,11,2021,69
08,12,2021,118
08,13,2021,182
08,14,2021,141
08,15,2021,121
08,16,2021,235
08,17,2021,640
08,18,2021,276
08,19,2021,144
08,20,2021,108
08,21,2021,351
08,22,2021,1408
08,23,2021,241
08,24,2021,119
08,25,2021,112
08,26,2021,83
08,27,2021,306
08,28,2021,190
08,29,2021,82
08,30,2021,94
08,31,2021,123
09,01,2021,137
09,02,2021,158
09,03,2021,154
09,04,2021,39
09,05,2021,61
09,06,2021,91
09,07,2021,62
09,08,2021,56
09,09,2021,112
09,10,2021,89
09,11,2021,4
09,12,2021,2
09,13,2021,29
09,14,2021,120
09,15,2021,99
09,16,2021,72
09,17,2021,38
09,18,2021,57
09,19,2021,33
09,20,2021,59
09,21,2021,75
09,22,2021,89
09,23,2021,47
09,24,2021,69
09,25,2021,46
09,26,2021,45
09,27,2021,114
09,28,2021,45
09,29,2021,82
09,30,2021,110
10,01,2021,271
10,02,2021,83
10,03,2021,81
10,04,2021,164
10,05,2021,117
10,06,2021,97
10,07,2021,95
10,08,2021,111
10,09,2021,62
10,10,2021,51
10,11,2021,68
10,12,2021,103
10,13,2021,107
10,14,2021,89
10,15,2021,145
10,16,2021,83
10,17,2021,92
10,18,2021,113
10,19,2021,131
10,20,2021,247
10,21,2021,110
10,22,2021,69
10,23,2021,77
10,24,2021,49
10,25,2021,75
10,26,2021,63
10,27,2021,100
10,28,2021,72
10,29,2021,84
10,30,2021,63
10,31,2021,15
11,01,2021,68
11,02,2021,55
11,03,2021,87
11,04,2021,62
11,05,2021,69
11,06,2021,61
11,07,2021,48
11,08,2021,79
11,09,2021,58
11,10,2021,42
11,11,2021,109
11,12,2021,62
11,13,2021,76
11,14,2021,55
11,15,2021,52
11,16,2021,78
11,17,2021,95
11,18,2021,268
11,19,2021,179
11,20,2021,426
11,21,2021,388
11,22,2021,133
11,23,2021,97
11,24,2021,154
11,25,2021,124
11,26,2021,108
11,27,2021,99
11,28,2021,93
11,29,2021,201
11,30,2021,93
12,01,2021,85
12,02,2021,80
12,03,2021,53
12,04,2021,76
12,05,2021,44
12,06,2021,100
12,07,2021,71
12,08,2021,118
12,09,2021,128
12,10,2021,115
12,11,2021,52
12,12,2021,61
12,13,2021,68
12,14,2021,75
12,15,2021,74
12,16,2021,59
12,17,2021,73
12,18,2021,53
12,19,2021,31
12,20,2021,47
12,21,2021,167
12,22,2021,50
12,23,2021,60
12,24,2021,72
12,25,2021,55
12,26,2021,49
12,27,2021,61
12,28,2021,56
12,29,2021,54
12,30,2021,54
12,31,2021,36
01,01,2022,68
01,02,2022,64
01,03,2022,71
01,04,2022,69
01,05,2022,77
01,06,2022,92
01,07,2022,106
01,08,2022,62
01,09,2022,257
01,10,2022,153
01,11,2022,383
01,12,2022,286
01,13,2022,246
01,14,2022,201
01,15,2022,120
01,16,2022,138
01,17,2022,887
01,18,2022,295
01,19,2022,196
01,20,2022,157
01,21,2022,108
01,22,2022,108
01,23,2022,77
01,24,2022,94
01,25,2022,78
01,26,2022,88
01,27,2022,91
01,28,2022,89
01,29,2022,62
01,30,2022,113
01,31,2022,127
02,01,2022,111
02,02,2022,121
02,03,2022,116
02,04,2022,63
02,05,2022,52
02,06,2022,107
02,07,2022,61
02,08,2022,80
02,09,2022,98
02,10,2022,80
02,11,2022,90
02,12,2022,33
02,13,2022,91
02,14,2022,51
02,15,2022,78
02,16,2022,158
02,17,2022,80
02,18,2022,86
02,19,2022,115
02,20,2022,83
02,21,2022,74
02,22,2022,87
02,23,2022,88
02,24,2022,83
02,25,2022,53
02,26,2022,74
02,27,2022,42
02,28,2022,102
03,01,2022,62
03,02,2022,96
03,03,2022,65
03,04,2022,44
03,05,2022,59
03,06,2022,40
03,07,2022,66
03,08,2022,64
03,09,2022,97
03,10,2022,46
03,11,2022,68
03,12,2022,74
03,13,2022,79
03,14,2022,74
03,15,2022,76
03,16,2022,125
03,17,2022,71
03,18,2022,35
03,19,2022,44
03,20,2022,45
03,21,2022,77
03,22,2022,72
03,23,2022,72
03,24,2022,46
03,25,2022,52
03,26,2022,41
03,27,2022,71
03,28,2022,56
03,29,2022,326
03,30,2022,218
03,31,2022,103
04,01,2022,81
04,02,2022,61
04,03,2022,111
04,04,2022,51
04,05,2022,74
04,06,2022,63
04,07,2022,62
04,08,2022,85
04,09,2022,64
04,10,2022,135
04,11,2022,166
04,12,2022,75
04,13,2022,118
04,14,2022,108
04,15,2022,64
04,16,2022,108
04,17,2022,70
04,18,2022,82
04,19,2022,77
04,20,2022,45
04,21,2022,157
04,22,2022,83
04,23,2022,51
04,24,2022,43
04,25,2022,95
04,26,2022,135
04,27,2022,53
04,28,2022,67
04,29,2022,89
04,30,2022,88
05,01,2022,64
05,02,2022,65
05,03,2022,99
05,04,2022,96
05,05,2022,79
05,06,2022,69
05,07,2022,60
05,08,2022,41
05,09,2022,231
05,10,2022,142
05,11,2022,54
05,12,2022,41
05,13,2022,63
05,14,2022,59
05,15,2022,63
05,16,2022,152
05,17,2022,109
05,18,2022,87
05,19,2022,52
05,20,2022,48
05,21,2022,25
05,22,2022,39
05,23,2022,83
